direction,method,scenario,seeds,n,auroc,auprc,brier,ece
Pocket2Mol_to_DiffSBDD,late_fusion,missing_risk,1,10000.0,0.8900016334361456,0.7762343065879331,0.1884264788838767,0.2521022609412577
Pocket2Mol_to_DiffSBDD,late_fusion,missing_validity,1,10000.0,0.7484502652791227,0.6578958599045998,0.2729301472913032,0.2581637721686519
Pocket2Mol_to_DiffSBDD,lightgbm_early,full,1,10000.0,0.9907771746295866,0.9774808728309942,0.028024886613162,0.0263536925350382
Pocket2Mol_to_DiffSBDD,lightgbm_early,missing_chemistry,1,10000.0,0.9907023629293776,0.976820798903572,0.027484174195413,0.0252919641204195
Pocket2Mol_to_DiffSBDD,lightgbm_early,missing_geometry,1,10000.0,0.936863045147136,0.8783568594876332,0.1291099274778593,0.1312248572923252
Pocket2Mol_to_DiffSBDD,lightgbm_early,missing_risk,1,10000.0,0.9899107106324028,0.9737899167698972,0.0292589287801556,0.0273896299855977
Pocket2Mol_to_DiffSBDD,lightgbm_early,missing_validity,1,10000.0,0.7749238041006717,0.6448115302782015,0.3032960114622862,0.3027420895359125
Pocket2Mol_to_DiffSBDD,logistic_stacking,full,1,10000.0,0.9749309361764864,0.9502515128135668,0.059508970652263,0.0394334458142248
Pocket2Mol_to_DiffSBDD,logistic_stacking,missing_chemistry,1,10000.0,0.9787587541461026,0.9643328871231952,0.0561127344693956,0.0484064175265319
Pocket2Mol_to_DiffSBDD,logistic_stacking,missing_geometry,1,10000.0,0.9720710427817384,0.9435755953459668,0.0646664720412023,0.0459030684034938
Pocket2Mol_to_DiffSBDD,logistic_stacking,missing_risk,1,10000.0,0.8966557343350876,0.7939317000718851,0.1347210238612875,0.1176960598660237
Pocket2Mol_to_DiffSBDD,logistic_stacking,missing_validity,1,10000.0,0.7221301452426742,0.598522960091514,0.3059565527517722,0.2718643365039376
Pocket2Mol_to_DiffSBDD,xgboost_early,full,1,10000.0,0.9922314361443374,0.9837319032500502,0.0258835277271791,0.0270580288307624
Pocket2Mol_to_DiffSBDD,xgboost_early,missing_chemistry,1,10000.0,0.9912514353454798,0.9807500439255438,0.0264482809420672,0.0293590162181411
Pocket2Mol_to_DiffSBDD,xgboost_early,missing_geometry,1,10000.0,0.9524925610460228,0.905111671324609,0.1316273956034419,0.1393548790547065
Pocket2Mol_to_DiffSBDD,xgboost_early,missing_risk,1,10000.0,0.9918434950597488,0.9824634442941146,0.0271084033193613,0.0321864271937403
Pocket2Mol_to_DiffSBDD,xgboost_early,missing_validity,1,10000.0,0.7902024397301031,0.6641242743918541,0.2960182872166005,0.2975336812883964
Pocket2Mol_within,bayesian_fusion,full,3,256.0,0.9905052631852952,0.9968730225107324,0.1263020006662486,0.1263020418734433
Pocket2Mol_within,bayesian_fusion,missing_chemistry,3,256.0,0.9899646089522686,0.9970107204893728,0.1263020234383954,0.1263020532658494
Pocket2Mol_within,bayesian_fusion,missing_geometry,3,256.0,0.931844180610016,0.9786305271215668,0.1263020832392589,0.1263020832228587
Pocket2Mol_within,bayesian_fusion,missing_risk,3,256.0,0.986665077456183,0.995926654883441,0.1263020603055051,0.1263020717403584
Pocket2Mol_within,bayesian_fusion,missing_validity,3,256.0,0.8069201121162101,0.9118623681172172,0.2083332458727238,0.2083332894766799
Pocket2Mol_within,hgb_early,full,3,256.0,0.9731518317216716,0.987254266478366,0.011599593919125,0.013100687661608
Pocket2Mol_within,hgb_early,missing_chemistry,3,256.0,0.975285327137663,0.9859085366003248,0.0113668949463592,0.0136410339173112
Pocket2Mol_within,hgb_early,missing_geometry,3,256.0,0.8879736618663344,0.9548963111342976,0.1252367795214712,0.1256437615864643
Pocket2Mol_within,hgb_early,missing_risk,3,256.0,0.9714922347504394,0.9867571245856402,0.0181315826089245,0.018898720963625
Pocket2Mol_within,hgb_early,missing_validity,3,256.0,0.793181793531813,0.8985640704690535,0.0829453408450109,0.0845496918666207
Pocket2Mol_within,late_fusion,full,3,256.0,0.8486886247778874,0.9584177397690352,0.1537049280714166,0.1870905955591879
Pocket2Mol_within,late_fusion,missing_chemistry,3,256.0,0.8618543645994295,0.9597789328478438,0.1529605843369162,0.1976658417488876
Pocket2Mol_within,late_fusion,missing_geometry,3,256.0,0.8661767663012974,0.9634479357493002,0.1509804519396916,0.1953527889960472
Pocket2Mol_within,late_fusion,missing_risk,3,256.0,0.6561472958150593,0.8476258634057862,0.1830044927847465,0.265617026723725
Pocket2Mol_within,late_fusion,missing_validity,3,256.0,0.7253538874295593,0.9026161557372696,0.1717925196428225,0.1581935299342697
Pocket2Mol_within,lightgbm_early,full,3,256.0,0.9797607971139222,0.9893818066039062,0.0152002822328558,0.0172743359967328
Pocket2Mol_within,lightgbm_early,missing_chemistry,3,256.0,0.9842793352094747,0.9927537464610504,0.0154505175503924,0.017977228255266
Pocket2Mol_within,lightgbm_early,missing_geometry,3,256.0,0.8851245492537029,0.9555689470010976,0.1252961647630266,0.1253661002140969
