heldout_source,method,calib_targets,test_n_mean,test_n_std,failure_rate_mean,failure_rate_std,mean_pred_failure_mean,mean_pred_failure_std,ece_mean,ece_std,brier_mean,brier_std,auroc_mean,auroc_std,auprc_mean,auprc_std
MolCRAFT,shrinkage_beta,20,80.0,0.0,0.0,0.0,0.01103239177577755,0.0006654176341754634,0.01103239177577755,0.0006654176341754634,0.0001945345520065715,4.708946474953382e-05,,,,
MolPilot-framefix,adapted_beta,5,45.0,0.0,0.9377777777777778,0.011625519195124372,0.8497884159386784,0.0453930182869604,0.08816679967650702,0.040844385145325096,0.04285501266290665,0.022255827470206543,1.0,0.0,1.0,0.0
MolPilot-framefix,adapted_beta,10,40.0,0.0,0.9400000000000001,0.014956076040402926,0.8980064754501376,0.024831108173095348,0.042734095881134464,0.022472965731325928,0.020217198974477168,0.012534661196359003,1.0,0.0,1.0,0.0
MolPilot-framefix,adapted_beta,20,30.0,0.0,0.9416666666666667,0.028356543640780014,0.9019008957650609,0.03255775469669676,0.04073657471285813,0.019118454234584484,0.0218944134309147,0.012693104748241714,1.0,0.0,1.0,0.0
MolPilot-framefix,adapted_isotonic,5,45.0,0.0,0.9377777777777778,0.011625519195124372,0.9126077554653127,0.016211278502933617,0.025628991085159248,0.007555293560232525,0.018961756103845876,0.006366382748674387,0.9927919141581933,0.002631937330609494,0.9990825195476358,0.00035830762375604306
MolPilot-framefix,adapted_isotonic,10,40.0,0.0,0.9400000000000001,0.014956076040402926,0.9220603751394894,0.01790084028430546,0.018878467064058664,0.009904264989829874,0.017324279490433487,0.010183588848715362,0.9925874001531897,0.0048986407541476915,0.9991184757632127,0.0005897073141728234
MolPilot-framefix,adapted_isotonic,20,30.0,0.0,0.9416666666666667,0.028356543640780014,0.918282078233676,0.030202592944192343,0.02429713122788639,0.012652461877185649,0.023006270606905126,0.013550043199461678,0.9901263075472846,0.007816758518594329,0.9988446451377486,0.0010306373645923683
MolPilot-framefix,adapted_platt,5,45.0,0.0,0.9377777777777778,0.011625519195124372,0.5017529331439491,0.030052075661384334,0.4502642101065798,0.03840598410629199,0.21260900426440127,0.0383251408774529,1.0,0.0,1.0,7.204078273071459e-17
MolPilot-framefix,adapted_platt,10,40.0,0.0,0.9400000000000001,0.014956076040402926,0.6448006310420197,0.015242554775371479,0.3135512745776323,0.02066503762319897,0.10260522138775378,0.012938309965582482,1.0,0.0,1.0,0.0
MolPilot-framefix,adapted_platt,20,30.0,0.0,0.9416666666666667,0.028356543640780014,0.76654898381166,0.014922533030827663,0.20226318256950332,0.010349195614065396,0.04522933083121392,0.002450518364798011,1.0,0.0,0.9999999999999998,1.1390647892519134e-16
MolPilot-framefix,logo_beta,0,50.0,,0.94,,0.05791102529891802,,0.8820889747010819,,0.8288868227777197,,1.0,,1.0,
MolPilot-framefix,logo_beta,5,45.0,0.0,0.9377777777777778,0.011625519195124372,0.05736312378339423,0.0014101144784915212,0.8804146539943835,0.01076911337641,0.827730473850781,0.009958642665819174,1.0,0.0,1.0,0.0
MolPilot-framefix,logo_beta,10,40.0,0.0,0.9400000000000001,0.014956076040402926,0.05844502925219053,0.0015937084590604599,0.8815549707478094,0.014414211044232461,0.8278697983357999,0.013875788094319313,1.0,0.0,1.0,0.0
MolPilot-framefix,logo_beta,20,30.0,0.0,0.9416666666666667,0.028356543640780014,0.05780033682381873,0.0026735759690869254,0.8838663298428479,0.026666959917095234,0.830754196439656,0.02495763446486125,1.0,0.0,1.0,0.0
MolPilot-framefix,logo_isotonic,0,50.0,,0.94,,0.04467617349970292,,0.8953238265002971,,0.8565711023061345,,0.6666666666666667,,0.9591836734693877,
MolPilot-framefix,logo_isotonic,5,45.0,0.0,0.9377777777777778,0.011625519195124372,0.04467617349970291,0.0002661975918462174,0.893101604278075,0.011400158081494988,0.8545509002859324,0.010580417848925662,0.6541666666666667,0.05590169943749481,0.9568939393939395,0.00705982872451528
MolPilot-framefix,logo_isotonic,10,40.0,0.0,0.9400000000000001,0.014956076040402926,0.044724821746880576,0.0004322510193094954,0.8952751782531194,0.014703392441340295,0.8565736315524968,0.013609795687531338,0.65,0.0959714869937393,0.9579807692307692,0.0124098796381615
MolPilot-framefix,logo_isotonic,20,30.0,0.0,0.9416666666666667,0.028356543640780014,0.04474103782927311,0.000662158149187552,0.8969256288373936,0.028061761531535837,0.8580896261497696,0.025794342412979468,0.6666666666666667,0.19308211143030823,0.9593103448275861,0.0262040307918273
MolPilot-framefix,logo_platt,0,50.0,,0.94,,0.018116245179844212,,0.9218837548201557,,0.9054251852756984,,1.0,,1.0,
MolPilot-framefix,logo_platt,5,45.0,0.0,0.9377777777777778,0.011625519195124372,0.018103107398487046,9.273600214919434e-05,0.9196746703792907,0.011535093496551047,0.9032852246118572,0.011195317390641828,1.0,0.0,1.0,7.204078273071459e-17
MolPilot-framefix,logo_platt,10,40.0,0.0,0.9400000000000001,0.014956076040402926,0.0181188859381968,0.0001267864266787362,0.9218811140618032,0.014845396486266985,0.9054244029930578,0.01440366852197494,1.0,0.0,1.0,0.0
MolPilot-framefix,logo_platt,20,30.0,0.0,0.9416666666666667,0.028356543640780014,0.01815371049687498,0.00023236829238662605,0.9235129561697917,0.02814541705269761,0.9070337821164813,0.027309479507382835,1.0,0.0,0.9999999999999998,1.1390647892519134e-16
MolPilot-framefix,raw_risk,0,50.0,,0.94,,0.9618898680245451,,0.02271830819481234,,0.014872910802440763,,1.0,,1.0,
MolPilot-framefix,raw_risk,5,45.0,0.0,0.9377777777777778,0.011625519195124372,0.9608669822000799,0.00791769281601585,0.023923416792556655,0.004360289203729532,0.015697617980693794,0.0033541120132715434,1.0,0.0,1.0,7.204078273071459e-17
MolPilot-framefix,raw_risk,10,40.0,0.0,0.9400000000000001,0.014956076040402926,0.9621998283213561,0.011091048576675373,0.02297767542759107,0.008300438902326776,0.014956256162054374,0.00681372466247465,1.0,0.0,1.0,0.0
MolPilot-framefix,raw_risk,20,30.0,0.0,0.9416666666666667,0.028356543640780014,0.9652806363131547,0.019903913476202264,0.02461772544308837,0.014458381068774237,0.016892808203479416,0.010876482935152101,1.0,0.0,0.9999999999999998,1.1390647892519134e-16
MolPilot-framefix,shrinkage_beta,5,45.0,0.0,0.9377777777777778,0.011625519195124372,0.2554694468222153,0.012318085961890655,0.682384707083202,0.011945070217310304,0.5006826195706013,0.016964204686580907,1.0,0.0,1.0,0.0
MolPilot-framefix,shrinkage_beta,10,40.0,0.0,0.9400000000000001,0.014956076040402926,0.47822575235116405,0.013052147191167074,0.4620006943697435,0.014776067037416832,0.23288907782567655,0.015699659614083768,1.0,0.0,1.0,0.0
MolPilot-framefix,shrinkage_beta,20,30.0,0.0,0.9416666666666667,0.028356543640780014,0.9019008957650609,0.03255775469669676,0.04073657471285813,0.019118454234584484,0.0218944134309147,0.012693104748241714,1.0,0.0,1.0,0.0
Pocket2Mol,adapted_beta,5,48.0,0.0,0.0,0.0,0.058695186244981976,0.02284599137343589,0.058695186244981976,0.02284599137343589,0.04344805291682648,0.022977754679049077,,,,
Pocket2Mol,adapted_beta,10,43.0,0.0,0.0,0.0,0.05750630664475863,0.023500775213776623,0.05750630664475863,0.023500775213776626,0.04317869633579002,0.02259267723287625,,,,
Pocket2Mol,adapted_beta,20,33.0,0.0,0.0,0.0,0.0374120966288516,0.03076176049422964,0.0374120966288516,0.030761760494229642,0.02240933282897164,0.02842258569468463,,,,
Pocket2Mol,adapted_isotonic,5,48.0,0.0,0.0,0.0,0.06785707607793642,0.02348710729429419,0.06785707607793642,0.023487107294294186,0.049002081354192685,0.025905270457377335,,,,
Pocket2Mol,adapted_isotonic,10,43.0,0.0,0.0,0.0,0.0659301498421121,0.024282747552664623,0.06593014984211208,0.024282747552664616,0.04885483828238334,0.025300556491125618,,,,
Pocket2Mol,adapted_isotonic,20,33.0,0.0,0.0,0.0,0.046627071016570654,0.03186369309520149,0.046627071016570654,0.03186369309520149,0.024966077868646425,0.03170845718836581,,,,
Pocket2Mol,adapted_platt,5,48.0,0.0,0.0,0.0,0.08267200776070974,0.014471598160937847,0.08267200776070974,0.014471598160937845,0.06661034485557987,0.014175337909093809,,,,
Pocket2Mol,adapted_platt,10,43.0,0.0,0.0,0.0,0.08015668638226599,0.019300595078705244,0.08015668638226597,0.019300595078705237,0.06414919519718253,0.018973899442286613,,,,
Pocket2Mol,adapted_platt,20,33.0,0.0,0.0,0.0,0.07175073863018712,0.03330901892243611,0.07175073863018712,0.0333090189224361,0.05509885899301388,0.03203603533244759,,,,
Pocket2Mol,logo_beta,0,53.0,,0.0,,0.0683382918579698,,0.06833829185796979,,0.05362887141055912,,,,,
